east,north,elev_m,serial,name,type,disposition,acres,status
327351.90,4700735.53,1621.7,ID103298560,PALMER 117,L,Closed,,CLOSED
327344.68,4701075.71,1662.3,ID103229011,PALMER 118,L,Closed,,CLOSED
328120.27,4698348.79,1805.4,ID103360972,PALMER 201,L,Closed,,CLOSED
328120.27,4698348.79,1805.4,ID103366890,PALMER 202,L,Closed,,CLOSED
328120.27,4698348.79,1805.4,ID101686961,PALMER 203,L,Closed,,CLOSED
328120.27,4698348.79,1805.4,ID103276067,PALMER 204,L,Closed,,CLOSED
328194.25,4698812.52,1746.1,ID103286796,PALMER 205,L,Closed,,CLOSED
328265.93,4699149.65,1659.9,ID103374897,PALMER 206,L,Closed,,CLOSED
328265.93,4699149.65,1659.9,ID103222383,PALMER 207,L,Closed,,CLOSED
328265.93,4699149.65,1659.9,ID103501291,PALMER 208,L,Closed,,CLOSED
328181.74,4699475.05,1634.9,ID103287107,PALMER 209,L,Closed,,CLOSED
328073.25,4699916.61,1704.7,ID103248542,PALMER 211,L,Closed,,CLOSED
328073.25,4699916.61,1704.7,ID103470451,PALMER 212,L,Closed,,CLOSED
328073.25,4699916.61,1704.7,ID103522805,PALMER 213,L,Closed,,CLOSED
328052.99,4700297.11,1731.5,ID103379920,PALMER 214,L,Closed,,CLOSED
327954.38,4700737.32,1738.5,ID103346808,PALMER 215,L,Closed,,CLOSED
327954.38,4700737.32,1738.5,ID102912882,PALMER 216,L,Closed,,CLOSED
327954.38,4700737.32,1738.5,ID103467412,PALMER 217,L,Closed,,CLOSED
328021.51,4701056.78,1734.8,ID103453394,PALMER 218,L,Closed,,CLOSED
328047.88,4701526.13,1759.9,ID103345464,PALMER 219,L,Closed,,CLOSED
328047.88,4701526.13,1759.9,ID103283232,PALMER 220,L,Closed,,CLOSED
328047.88,4701526.13,1759.9,ID103451890,PALMER 221,L,Closed,,CLOSED
328047.88,4701526.13,1759.9,ID103293455,PALMER 222,L,Closed,,CLOSED
328105.49,4702328.05,1742.1,ID103457403,PALMER 223,L,Closed,,CLOSED
328105.49,4702328.05,1742.1,ID103300862,PALMER 224,L,Closed,,CLOSED
328503.19,4698386.04,1840.6,ID103251180,PALMER 301,L,Closed,,CLOSED
328503.19,4698386.04,1840.6,ID103361960,PALMER 302,L,Closed,,CLOSED
328503.19,4698386.04,1840.6,ID103362851,PALMER 303,L,Closed,,CLOSED
328503.19,4698386.04,1840.6,ID103418148,PALMER 304,L,Closed,,CLOSED
328531.78,4698846.45,1753.0,ID103226101,PALMER 305,L,Closed,,CLOSED
328573.75,4699147.64,1644.1,ID103364035,PALMER 306,L,Closed,,CLOSED
328573.75,4699147.64,1644.1,ID103369118,PALMER 307,L,Closed,,CLOSED
328486.36,4700147.56,1770.2,ID103015498,PALMER 314,L,Closed,,CLOSED
328575.48,4700693.15,1851.9,ID103115636,PALMER 315,L,Closed,,CLOSED
328575.48,4700693.15,1851.9,ID103081282,PALMER 316,L,Closed,,CLOSED
328575.48,4700693.15,1851.9,ID103117104,PALMER 317,L,Closed,,CLOSED
328570.96,4701078.82,1742.2,ID103482931,PALMER 318,L,Closed,,CLOSED
328505.90,4701545.97,1798.1,ID103522189,PALMER 319,L,Closed,,CLOSED
328505.90,4701545.97,1798.1,ID103475824,PALMER 320,L,Closed,,CLOSED
328505.90,4701545.97,1798.1,ID103520178,PALMER 321,L,Closed,,CLOSED
328505.90,4701545.97,1798.1,ID101689289,PALMER 322,L,Closed,,CLOSED
328613.38,4702303.33,1898.7,ID103274051,PALMER 323,L,Closed,,CLOSED
328613.38,4702303.33,1898.7,ID103066678,PALMER 324,L,Closed,,CLOSED
328613.38,4702303.33,1898.7,ID103111519,PALMER 325,L,Closed,,CLOSED
328613.38,4702303.33,1898.7,ID103468193,PALMER 326,L,Closed,,CLOSED
328608.87,4702689.00,1778.2,ID103297628,PALMER 327,L,Closed,,CLOSED
328851.52,4698389.72,1762.3,ID103224332,PALMER 401,L,Closed,,CLOSED
328851.52,4698389.72,1762.3,ID103526437,PALMER 402,L,Closed,,CLOSED
328851.52,4698389.72,1762.3,ID103478420,PALMER 403,L,Closed,,CLOSED
328851.52,4698389.72,1762.3,ID103278285,PALMER 403,L,Closed,,CLOSED
