east,north,elev_m,serial,name,type,disposition,acres,status
260101.48,4655726.70,1802.6,ID101747877,BLUE 19,L,Active,20.66,ACTIVE
260194.29,4656141.56,1786.6,ID101747878,BLUE 20,L,Active,20.66,ACTIVE
260101.48,4655726.70,1802.6,ID101747879,BLUE 21,L,Active,20.66,ACTIVE
260194.29,4656141.56,1786.6,ID101747880,BLUE 22,L,Active,20.66,ACTIVE
260101.48,4655726.70,1802.6,ID101747881,BLUE 23,L,Active,20.66,ACTIVE
260194.29,4656141.56,1786.6,ID101747882,BLUE 24,L,Active,20.66,ACTIVE
259352.50,4656593.69,1743.8,ID101747883,BLUE 25,L,Active,20.66,ACTIVE
259325.23,4657108.23,1756.6,ID101747884,BLUE 26,L,Active,20.66,ACTIVE
259325.23,4657108.23,1756.6,ID101748265,BLUE 27,L,Active,20.66,ACTIVE
259808.35,4657056.25,1716.2,ID101748266,BLUE 28,L,Active,20.66,ACTIVE
260184.94,4657040.14,1714.4,ID101748267,BLUE 29,L,Active,20.66,ACTIVE
259808.35,4657056.25,1716.2,ID101748268,BLUE 30,L,Active,20.66,ACTIVE
260184.94,4657040.14,1714.4,ID101748269,BLUE 31,L,Active,20.66,ACTIVE
259838.55,4657433.21,1669.5,ID101748270,BLUE 32,L,Active,20.66,ACTIVE
261865.29,4656851.12,1895.4,ID101748271,BLUE 39,L,Active,20.66,ACTIVE
261865.29,4656851.12,1895.4,ID101748272,BLUE 40,L,Active,20.66,ACTIVE
261865.29,4656851.12,1895.4,ID101748401,BLUE 41,L,Active,20.66,ACTIVE
262221.35,4656914.75,1929.2,ID101748402,BLUE 42,L,Active,20.66,ACTIVE
260372.83,4663169.38,1711.0,ID101748403,SPRING 1,L,Active,20.66,ACTIVE
260373.45,4663602.93,1724.2,ID101748404,SPRING 2,L,Active,20.66,ACTIVE
260372.83,4663169.38,1711.0,ID101748405,SPRING 3,L,Active,20.66,ACTIVE
260373.45,4663602.93,1724.2,ID101748406,SPRING 4,L,Active,20.66,ACTIVE
261070.45,4659797.26,1816.7,ID101748407,EMERY 1,L,Active,20.66,ACTIVE
261159.64,4660181.12,1857.3,ID101748408,EMERY 2,L,Active,20.66,ACTIVE
261070.45,4659797.26,1816.7,ID101748409,EMERY 3,L,Active,20.66,ACTIVE
261159.64,4660181.12,1857.3,ID101748410,EMERY 4,L,Active,20.66,ACTIVE
261070.45,4659797.26,1816.7,ID101748411,EMERY 5,L,Active,20.66,ACTIVE
261159.64,4660181.12,1857.3,ID101748412,EMERY 6,L,Active,20.66,ACTIVE
261070.45,4659797.26,1816.7,ID101748413,EMERY 7,L,Active,20.66,ACTIVE
261159.64,4660181.12,1857.3,ID101748883,EMERY 8,L,Active,20.66,ACTIVE
329643.92,4659547.73,2234.9,ID101883711,MG 1,L,Active,20.66,ACTIVE
329604.74,4659914.20,2283.1,ID101883712,MG 2,L,Active,20.66,ACTIVE
329604.74,4659914.20,2283.1,ID101884503,MG 3,L,Active,20.66,ACTIVE
329604.74,4659914.20,2283.1,ID101884504,MG 4,L,Active,20.66,ACTIVE
329604.74,4659914.20,2283.1,ID101884505,MG 5,L,Active,20.66,ACTIVE
329660.83,4660283.93,2313.8,ID101884506,MG 6,L,Active,20.66,ACTIVE
329624.11,4660718.12,2376.9,ID101884507,MG 7,L,Active,20.66,ACTIVE
329624.11,4660718.12,2376.9,ID101884508,MG 8,L,Active,20.66,ACTIVE
329624.11,4660718.12,2376.9,ID101884509,MG 9,L,Active,20.66,ACTIVE
329680.20,4661087.85,2388.2,ID101884510,MG 10,L,Active,20.66,ACTIVE
329643.49,4661522.03,2351.6,ID101884511,MG 11,L,Active,20.66,ACTIVE
329643.49,4661522.03,2351.6,ID101884512,MG 12,L,Active,20.66,ACTIVE
329643.49,4661522.03,2351.6,ID101884513,MG 13,L,Active,20.66,ACTIVE
329643.49,4661522.03,2351.6,ID101884514,MG 14,L,Active,20.66,ACTIVE
329662.87,4662325.95,2265.3,ID101884515,MG 15,L,Active,20.66,ACTIVE
329662.87,4662325.95,2265.3,ID101884516,MG 16,L,Active,20.66,ACTIVE
329662.87,4662325.95,2265.3,ID101884517,MG 17,L,Active,20.66,ACTIVE
329662.87,4662325.95,2265.3,ID101884518,MG 18,L,Active,20.66,ACTIVE
329966.87,4659517.74,2167.6,ID101884519,MG 19,L,Active,20.66,ACTIVE
329962.44,4659918.92,2192.3,ID101884520,MG 20,L,Active,20.66,ACTIVE
329962.44,4659918.92,2192.3,ID101884521,MG 21,L,Active,20.66,ACTIVE
329962.44,4659918.92,2192.3,ID101884522,MG 22,L,Active,20.66,ACTIVE
329962.44,4659918.92,2192.3,ID101884523,MG 23,L,Active,20.66,ACTIVE
330046.32,4660274.66,2178.0,ID101884524,MG 24,L,Active,20.66,ACTIVE
329979.62,4660632.90,2266.7,ID101885295,MG 25,L,Active,20.66,ACTIVE
329979.62,4660632.90,2266.7,ID101885296,MG 26,L,Active,20.66,ACTIVE
329979.62,4660632.90,2266.7,ID101885297,MG 27,L,Active,20.66,ACTIVE
330002.94,4661017.86,2297.9,ID101885298,MG 28,L,Active,20.66,ACTIVE
329998.98,4661437.92,2221.5,ID101885299,MG 29,L,Active,20.66,ACTIVE
329998.98,4661437.92,2221.5,ID101885300,MG 30,L,Active,20.66,ACTIVE
329998.98,4661437.92,2221.5,ID101885301,MG 31,L,Active,20.66,ACTIVE
329998.98,4661437.92,2221.5,ID101885302,MG 32,L,Active,20.66,ACTIVE
330017.49,4662241.86,2251.0,ID101885303,MG 33,L,Active,20.66,ACTIVE
330017.49,4662241.86,2251.0,ID101885304,MG 34,L,Active,20.66,ACTIVE
330017.49,4662241.86,2251.0,ID101885305,MG 35,L,Active,20.66,ACTIVE
330017.49,4662241.86,2251.0,ID101885306,MG 36,L,Active,20.66,ACTIVE
330304.31,4659470.75,2045.9,ID101885307,MG 37,L,Active,20.66,ACTIVE
330405.85,4659769.40,2037.2,ID101885308,MG 38,L,Active,20.66,ACTIVE
330405.85,4659769.40,2037.2,ID101885309,MG 39,L,Active,20.66,ACTIVE
330405.85,4659769.40,2037.2,ID101885310,MG 40,L,Active,20.66,ACTIVE
330405.85,4659769.40,2037.2,ID101885311,MG 41,L,Active,20.66,ACTIVE
330373.01,4660160.15,2069.7,ID101885312,MG 42,L,Active,20.66,ACTIVE
330135.37,4660673.59,2236.7,ID101885313,MG 43,L,Active,20.66,ACTIVE
330135.37,4660673.59,2236.7,ID101885314,MG 44,L,Active,20.66,ACTIVE
330135.37,4660673.59,2236.7,ID101885315,MG 45,L,Active,20.66,ACTIVE
330319.29,4661094.70,2256.6,ID101885316,MG 46,L,Active,20.66,ACTIVE
330447.40,4661501.59,2208.7,ID101882912,MG 47,L,Active,20.66,ACTIVE
330447.40,4661501.59,2208.7,ID101882913,MG 48,L,Active,20.66,ACTIVE
330447.40,4661501.59,2208.7,ID101882914,MG 49,L,Active,20.66,ACTIVE
330447.40,4661501.59,2208.7,ID101882915,MG 50,L,Active,20.66,ACTIVE
330526.40,4662241.85,2055.7,ID101882916,MG 51,L,Active,20.66,ACTIVE
330526.40,4662241.85,2055.7,ID101882917,MG 52,L,Active,20.66,ACTIVE
330526.40,4662241.85,2055.7,ID101882918,MG 53,L,Active,20.66,ACTIVE
330526.40,4662241.85,2055.7,ID101882919,MG 54,L,Active,20.66,ACTIVE
330761.02,4659287.60,1891.2,ID101882920,MG 55,L,Active,20.66,ACTIVE
330861.71,4659620.71,1896.4,ID101882921,MG 56,L,Active,20.66,ACTIVE
330861.71,4659620.71,1896.4,ID101882922,MG 57,L,Active,20.66,ACTIVE
330861.71,4659620.71,1896.4,ID101882923,MG 58,L,Active,20.66,ACTIVE
330861.71,4659620.71,1896.4,ID101882924,MG 59,L,Active,20.66,ACTIVE
330804.62,4659622.08,1913.7,ID101882925,MG 60,L,Active,20.66,ACTIVE
330674.68,4660901.74,2079.0,ID101882926,MG 61,L,Active,20.66,ACTIVE
330674.68,4660901.74,2079.0,ID101882927,MG 62,L,Active,20.66,ACTIVE
330674.68,4660901.74,2079.0,ID101882928,MG 63,L,Active,20.66,ACTIVE
330807.85,4661278.52,2106.3,ID101882929,MG 64,L,Active,20.66,ACTIVE
330805.03,4661506.35,2182.5,ID101882930,MG 65,L,Active,20.66,ACTIVE
330805.03,4661506.35,2182.5,ID101882931,MG 66,L,Active,20.66,ACTIVE
330805.03,4661506.35,2182.5,ID101882932,MG 67,L,Active,20.66,ACTIVE
